"Name","Genes (tot)","Stat (dist.dir)","p (dist.dir.up)","p adj (dist.dir.up)","p (dist.dir.dn)","p adj (dist.dir.dn)","Genes (up)","Genes (down)"
"GO:0006139",5069,-0.21371,NA,NA,1,0,2361,2708
"GO:0006351",3201,-0.25065,NA,NA,1,0,1441,1760
"GO:0006357",2350,-0.28801,NA,NA,1,0,1011,1339
"GO:0006366",2439,-0.28325,NA,NA,1,0,1061,1378
"GO:0006725",5272,-0.20453,NA,NA,1,0,2464,2808
"GO:0009889",4712,-0.22397,NA,NA,1,0,2162,2550
"GO:0010467",5657,-0.20206,NA,NA,1,0,2664,2993
"GO:0010468",4457,-0.23189,NA,NA,1,0,2016,2441
"GO:0010556",4574,-0.22885,NA,NA,1,0,2086,2488
"GO:0010669",30,-0.63613,NA,NA,0.0027778,0,11,19
"GO:0016070",4155,-0.22503,NA,NA,1,0,1918,2237
"GO:0018130",3653,-0.23595,NA,NA,1,0,1685,1968
"GO:0019219",3638,-0.24213,NA,NA,1,0,1637,2001
"GO:0019438",3666,-0.23241,NA,NA,1,0,1691,1975
"GO:0031326",4684,-0.22447,NA,NA,1,0,2144,2540
"GO:0032774",3226,-0.24933,NA,NA,1,0,1458,1768
"GO:0034641",5639,-0.20312,NA,NA,1,0,2674,2965
"GO:0034654",3583,-0.24097,NA,NA,1,0,1642,1941
"GO:0044271",4332,-0.2211,NA,NA,1,0,2053,2279
"GO:0046483",5222,-0.20762,NA,NA,1,0,2439,2783
"GO:0051252",3392,-0.24825,NA,NA,1,0,1519,1873
"GO:0090304",4629,-0.21948,NA,NA,1,0,2139,2490
"GO:1901362",3803,-0.23144,NA,NA,1,0,1749,2054
"GO:2001141",3118,-0.25316,NA,NA,1,0,1393,1725
