drug_1,drug_2,drug_1_concentration,drug_2_concentration,cell_line,response
Ifosfamide,Chlorambucil,1e-4,1e-4,786-0,53.552
Amifostine,Ifosfamide,1e-4,1e-4,786-0,103.86
Amifostine,Chlorambucil,1e-4,1e-4,786-0,26.408
Hydroxyurea,Chlorambucil,1e-4,1e-4,786-0,13.685
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,786-0,49.08
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,786-0,85.54
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,786-0,28.587
Ifosfamide,Chlorambucil,1e-4,1e-5,786-0,99.443
Amifostine,Ifosfamide,1e-4,1e-5,786-0,111.6
Amifostine,Chlorambucil,1e-4,1e-5,786-0,95.043
Hydroxyurea,Chlorambucil,1e-4,1e-5,786-0,94.169
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,786-0,26.37
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,786-0,92.58
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,786-0,97.238
Ifosfamide,Chlorambucil,1e-4,1e-6,786-0,95.476
Amifostine,Ifosfamide,1e-4,1e-6,786-0,105.62
Amifostine,Chlorambucil,1e-4,1e-6,786-0,97.655
Hydroxyurea,Chlorambucil,1e-4,1e-6,786-0,111.725
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,786-0,57.21
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,786-0,80.68
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,786-0,112.516
Ifosfamide,Chlorambucil,1e-5,1e-4,786-0,49.445
Amifostine,Ifosfamide,1e-5,1e-4,786-0,107.71
Amifostine,Chlorambucil,1e-5,1e-4,786-0,27.589
Hydroxyurea,Chlorambucil,1e-5,1e-4,786-0,11.843
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,786-0,105.5
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,786-0,103.91
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,786-0,23.424
Ifosfamide,Chlorambucil,1e-5,1e-5,786-0,97.893
Amifostine,Ifosfamide,1e-5,1e-5,786-0,105.67
Amifostine,Chlorambucil,1e-5,1e-5,786-0,97.335
Hydroxyurea,Chlorambucil,1e-5,1e-5,786-0,106.256
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,786-0,106
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,786-0,102.25
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,786-0,97.69
Ifosfamide,Chlorambucil,1e-5,1e-6,786-0,97.195
Amifostine,Ifosfamide,1e-5,1e-6,786-0,103.65
Amifostine,Chlorambucil,1e-5,1e-6,786-0,91.641
Hydroxyurea,Chlorambucil,1e-5,1e-6,786-0,106.623
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,786-0,107.96
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,786-0,104.13
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,786-0,109.821
Ifosfamide,Chlorambucil,1e-6,1e-4,786-0,52.891
Amifostine,Ifosfamide,1e-6,1e-4,786-0,105.16
Amifostine,Chlorambucil,1e-6,1e-4,786-0,24.428
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,786-0,104.6
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,786-0,105.54
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,786-0,21.138
Ifosfamide,Chlorambucil,1e-6,1e-5,786-0,98.196
Amifostine,Ifosfamide,1e-6,1e-5,786-0,106.74
Amifostine,Chlorambucil,1e-6,1e-5,786-0,95.56
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,786-0,104.78
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,786-0,100.12
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,786-0,98.251
Ifosfamide,Chlorambucil,1e-6,1e-6,786-0,101.997
Amifostine,Ifosfamide,1e-6,1e-6,786-0,104.19
Amifostine,Chlorambucil,1e-6,1e-6,786-0,85.234
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,786-0,103.2
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,786-0,102.71
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,786-0,101.882
Hydroxyurea,Chlorambucil,3e-5,1e-4,786-0,11.861
Hydroxyurea,Chlorambucil,3e-5,1e-5,786-0,103.657
Hydroxyurea,Chlorambucil,3e-5,1e-6,786-0,102.028
Ifosfamide,Chlorambucil,1e-4,1e-4,A498,59.093
Amifostine,Ifosfamide,1e-4,1e-4,A498,85.63
Amifostine,Chlorambucil,1e-4,1e-4,A498,66.268
Hydroxyurea,Chlorambucil,1e-4,1e-4,A498,66.921
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,A498,118.36
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,A498,139.69
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,A498,64.916
Ifosfamide,Chlorambucil,1e-4,1e-5,A498,99.669
Amifostine,Ifosfamide,1e-4,1e-5,A498,108.07
Amifostine,Chlorambucil,1e-4,1e-5,A498,108.28
Hydroxyurea,Chlorambucil,1e-4,1e-5,A498,84.892
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,A498,113.94
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,A498,158.79
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,A498,104.681
Ifosfamide,Chlorambucil,1e-4,1e-6,A498,105.414
Amifostine,Ifosfamide,1e-4,1e-6,A498,105.74
Amifostine,Chlorambucil,1e-4,1e-6,A498,107.583
Hydroxyurea,Chlorambucil,1e-4,1e-6,A498,100.256
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,A498,94.8
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,A498,132.49
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,A498,107.512
Ifosfamide,Chlorambucil,1e-5,1e-4,A498,52.87
Amifostine,Ifosfamide,1e-5,1e-4,A498,106.51
Amifostine,Chlorambucil,1e-5,1e-4,A498,61.387
Hydroxyurea,Chlorambucil,1e-5,1e-4,A498,63.628
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,A498,95.41
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,A498,95.06
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,A498,63.854
Ifosfamide,Chlorambucil,1e-5,1e-5,A498,98.406
Amifostine,Ifosfamide,1e-5,1e-5,A498,107.86
Amifostine,Chlorambucil,1e-5,1e-5,A498,106.227
Hydroxyurea,Chlorambucil,1e-5,1e-5,A498,104.883
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,A498,134.94
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,A498,186.68
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,A498,99.652
Ifosfamide,Chlorambucil,1e-5,1e-6,A498,107.364
Amifostine,Ifosfamide,1e-5,1e-6,A498,105.08
Amifostine,Chlorambucil,1e-5,1e-6,A498,106.078
Hydroxyurea,Chlorambucil,1e-5,1e-6,A498,106.514
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,A498,140.48
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,A498,164.16
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,A498,105.07
Ifosfamide,Chlorambucil,1e-6,1e-4,A498,52.348
Amifostine,Ifosfamide,1e-6,1e-4,A498,103.09
Amifostine,Chlorambucil,1e-6,1e-4,A498,54.475
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,A498,139.17
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,A498,155.99
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,A498,62.942
Ifosfamide,Chlorambucil,1e-6,1e-5,A498,99.247
Amifostine,Ifosfamide,1e-6,1e-5,A498,100.86
Amifostine,Chlorambucil,1e-6,1e-5,A498,100.148
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,A498,137.88
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,A498,192.59
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,A498,105.318
Ifosfamide,Chlorambucil,1e-6,1e-6,A498,96.412
Amifostine,Ifosfamide,1e-6,1e-6,A498,98.68
Amifostine,Chlorambucil,1e-6,1e-6,A498,103.992
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,A498,141.07
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,A498,194.9
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,A498,102.363
Hydroxyurea,Chlorambucil,3e-5,1e-4,A498,59.725
Hydroxyurea,Chlorambucil,3e-5,1e-5,A498,108.415
Hydroxyurea,Chlorambucil,3e-5,1e-6,A498,110.682
Ifosfamide,Chlorambucil,1e-4,1e-4,A549/ATCC,35.196
Amifostine,Ifosfamide,1e-4,1e-4,A549/ATCC,86.68
Amifostine,Chlorambucil,1e-4,1e-4,A549/ATCC,40.467
Hydroxyurea,Chlorambucil,1e-4,1e-4,A549/ATCC,31.997
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,A549/ATCC,82.42
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,A549/ATCC,86.11
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,A549/ATCC,37.516
Ifosfamide,Chlorambucil,1e-4,1e-5,A549/ATCC,99.278
Amifostine,Ifosfamide,1e-4,1e-5,A549/ATCC,100.94
Amifostine,Chlorambucil,1e-4,1e-5,A549/ATCC,92.737
Hydroxyurea,Chlorambucil,1e-4,1e-5,A549/ATCC,82.513
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,A549/ATCC,86.29
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,A549/ATCC,88.81
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,A549/ATCC,99.818
Ifosfamide,Chlorambucil,1e-4,1e-6,A549/ATCC,107.23
Amifostine,Ifosfamide,1e-4,1e-6,A549/ATCC,100.79
